algorithm,pattern_length,inspections
Weak Boyer Moore,4,360143
Weak Memorizing Boyer Moore,4,360143
Weak Turbo Boyer Moore,4,360143
Weak Boyer Moore,4,359820
Weak Memorizing Boyer Moore,4,359820
Weak Turbo Boyer Moore,4,359820
Weak Boyer Moore,4,359787
Weak Memorizing Boyer Moore,4,359787
Weak Turbo Boyer Moore,4,359787
Weak Boyer Moore,4,359463
Weak Memorizing Boyer Moore,4,359463
Weak Turbo Boyer Moore,4,359463
Weak Boyer Moore,4,372370
Weak Memorizing Boyer Moore,4,372346
Weak Turbo Boyer Moore,4,372346
Weak Boyer Moore,4,358488
Weak Memorizing Boyer Moore,4,358488
Weak Turbo Boyer Moore,4,358488
Weak Boyer Moore,4,383733
Weak Memorizing Boyer Moore,4,383194
Weak Turbo Boyer Moore,4,383194
Weak Boyer Moore,4,358980
Weak Memorizing Boyer Moore,4,358980
Weak Turbo Boyer Moore,4,358980
Weak Boyer Moore,4,358783
Weak Memorizing Boyer Moore,4,358783
Weak Turbo Boyer Moore,4,358783
Weak Boyer Moore,4,359494
Weak Memorizing Boyer Moore,4,359494
Weak Turbo Boyer Moore,4,359494
Weak Boyer Moore,4,359507
Weak Memorizing Boyer Moore,4,359507
Weak Turbo Boyer Moore,4,359507
Weak Boyer Moore,4,359023
Weak Memorizing Boyer Moore,4,359023
Weak Turbo Boyer Moore,4,359023
Weak Boyer Moore,4,359517
Weak Memorizing Boyer Moore,4,359517
Weak Turbo Boyer Moore,4,359517
Weak Boyer Moore,4,359093
Weak Memorizing Boyer Moore,4,359093
Weak Turbo Boyer Moore,4,359093
Weak Boyer Moore,4,359922
Weak Memorizing Boyer Moore,4,359922
Weak Turbo Boyer Moore,4,359922
Weak Boyer Moore,4,359260
Weak Memorizing Boyer Moore,4,359260
Weak Turbo Boyer Moore,4,359260
Weak Boyer Moore,4,358670
Weak Memorizing Boyer Moore,4,358670
Weak Turbo Boyer Moore,4,358670
Weak Boyer Moore,4,359474
Weak Memorizing Boyer Moore,4,359474
Weak Turbo Boyer Moore,4,359474
Weak Boyer Moore,4,359526
Weak Memorizing Boyer Moore,4,359526
Weak Turbo Boyer Moore,4,359526
Weak Boyer Moore,4,358876
Weak Memorizing Boyer Moore,4,358876
Weak Turbo Boyer Moore,4,358876
Weak Boyer Moore,4,358688
Weak Memorizing Boyer Moore,4,358688
Weak Turbo Boyer Moore,4,358688
Weak Boyer Moore,4,359015
Weak Memorizing Boyer Moore,4,359015
Weak Turbo Boyer Moore,4,359015
Weak Boyer Moore,4,372646
Weak Memorizing Boyer Moore,4,372630
Weak Turbo Boyer Moore,4,372630
Weak Boyer Moore,4,359094
Weak Memorizing Boyer Moore,4,359094
Weak Turbo Boyer Moore,4,359094
Weak Boyer Moore,4,359852
Weak Memorizing Boyer Moore,4,359852
Weak Turbo Boyer Moore,4,359852
Weak Boyer Moore,4,359485
Weak Memorizing Boyer Moore,4,359485
Weak Turbo Boyer Moore,4,359485
Weak Boyer Moore,4,360348
Weak Memorizing Boyer Moore,4,360348
Weak Turbo Boyer Moore,4,360348
Weak Boyer Moore,4,359397
Weak Memorizing Boyer Moore,4,359397
Weak Turbo Boyer Moore,4,359397
Weak Boyer Moore,4,358620
Weak Memorizing Boyer Moore,4,358620
Weak Turbo Boyer Moore,4,358620
Weak Boyer Moore,4,357540
Weak Memorizing Boyer Moore,4,357540
Weak Turbo Boyer Moore,4,357540
Weak Boyer Moore,4,359331
Weak Memorizing Boyer Moore,4,359331
Weak Turbo Boyer Moore,4,359331
Weak Boyer Moore,4,359418
Weak Memorizing Boyer Moore,4,359418
Weak Turbo Boyer Moore,4,359418
Weak Boyer Moore,4,358343
Weak Memorizing Boyer Moore,4,358343
Weak Turbo Boyer Moore,4,358343
Weak Boyer Moore,4,359304
Weak Memorizing Boyer Moore,4,359304
Weak Turbo Boyer Moore,4,359304
Weak Boyer Moore,4,358054
Weak Memorizing Boyer Moore,4,358054
Weak Turbo Boyer Moore,4,358054
Weak Boyer Moore,4,358359
Weak Memorizing Boyer Moore,4,358359
Weak Turbo Boyer Moore,4,358359
Weak Boyer Moore,4,360041
Weak Memorizing Boyer Moore,4,360041
Weak Turbo Boyer Moore,4,360041
Weak Boyer Moore,4,358313
Weak Memorizing Boyer Moore,4,358313
Weak Turbo Boyer Moore,4,358313
